"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046620","BP","GO:0046620","regulation of organ growth","16/1218","102/18614",0.000933067698651939,0.0142731083115,0.0118099286387588,"FOXC1/FGF2/CGA/FGFR2/TGFBR3/FOXC2/FGF9/IGF2/KCNK2/SLC6A4/ERBB4/NKX2-5/RBP4/PI16/FGF20/MAEL",16
"GO:0006959","BP","GO:0006959","humoral immune response","30/1218","250/18614",0.000967078075763482,0.0147486710769005,0.0122034212263619,"CST9/BCL2/AZU1/CST9L/KLK5/PRTN3/GATA3/C6/C7/CXCL5/KRT1/MUC7/KLK7/CFD/CTSG/PRSS3/CXCL14/ELANE/RNASE7/CXCL2/MASP1/WFDC2/CFHR1/IFNE/KRT6A/SPRR2A/WFDC10B/ZP4/WFDC13/KLK3",30
"GO:0033604","BP","GO:0033604","negative regulation of catecholamine secretion","5/1218","13/18614",0.000982597982563362,0.0149402247469273,0.012361917548546,"ABAT/CHGA/CNR1/DRD2/SYT4",5
"GO:1903818","BP","GO:1903818","positive regulation of voltage-gated potassium channel activity","6/1218","19/18614",0.00100336343640227,0.0152101460269028,0.0125852572013409,"KCNC2/NOS1AP/KCNIP2/KCNC1/KCNE1/KCNK3",6
"GO:0072132","BP","GO:0072132","mesenchyme morphogenesis","11/1218","57/18614",0.00102199753248525,0.0154462381556453,0.0127806057639504,"OSR1/FOXC1/FOXC2/WNT11/MYC/TMEM100/ACTG2/BMP2/BMP5/ROBO2/ACTC1",11
"GO:0044344","BP","GO:0044344","cellular response to fibroblast growth factor stimulus","17/1218","113/18614",0.00106216279915551,0.0160053665974239,0.0132432426930057,"FGF10/SFRP1/FGF2/FGFR2/WNT4/EGR3/FGF9/GATA3/SMOC2/NGFR/NR4A1/FGFR3/FGFBP1/FGF19/FGF17/FGF20/FGF21",17
"GO:0045926","BP","GO:0045926","negative regulation of growth","30/1218","252/18614",0.00109944178218998,0.0165103748432831,0.0136610992113911,"STC2/RERG/BCL2/MAG/SFRP1/WNT3/CGA/SEMA3B/SEMA6A/SLIT1/GJA1/WNT11/MYOZ1/MT1M/SEMA3G/FRZB/MAP2/KCNK2/SLC6A4/SEMA6D/FGFR3/GDF9/CRYAB/ADRB1/RBP4/EPHA7/PI16/BCL11A/TP53TG5/MT3",30
"GO:0086013","BP","GO:0086013","membrane repolarization during cardiac muscle cell action potential","7/1218","26/18614",0.00110221797190697,0.0165103748432831,0.0136610992113911,"KCNE4/NOS1AP/KCNJ3/SCN2B/KCNIP2/KCND3/KCNE1",7
"GO:0032941","BP","GO:0032941","secretion by tissue","9/1218","41/18614",0.00111125687131786,0.0165475654466447,0.0136918716515735,"WNK4/CELSR2/FGF10/CHRM3/NLRP6/TACR1/OPRK1/SPINK1/ALOX12B",9
"GO:1901381","BP","GO:1901381","positive regulation of potassium ion transmembrane transport","9/1218","41/18614",0.00111125687131786,0.0165475654466447,0.0136918716515735,"KCNC2/NOS1AP/EDN3/RGS7/KCNIP2/KCNC1/KCNE1/KCNK3/OPRK1",9
"GO:0098657","BP","GO:0098657","import into cell","31/1218","265/18614",0.00122176399614369,0.0181100227747441,0.0149846881245693,"SLC39A6/LRP2/IRS2/GFAP/SLC7A3/SNAP25/KCNJ16/KCNJ3/KCNK5/CACNA1F/RAMP3/SCNN1G/SLC1A2/ATP1A2/STEAP2/SLC7A2/SCNN1D/SCN5A/CACNA1G/SLC6A4/SLC27A2/SCN7A/SLC18A1/DRD2/MAPK15/SLC17A8/SLC6A2/SLC1A1/ATP1A4/SLC6A14/ATP12A",31
"GO:0072171","BP","GO:0072171","mesonephric tubule morphogenesis","12/1218","67/18614",0.00122335930391992,0.0181100227747441,0.0149846881245693,"BCL2/OSR1/FGF2/WNT4/CITED1/SOX8/WNT11/EYA1/MYC/GATA3/BMP2/GREB1L",12
"GO:0031960","BP","GO:0031960","response to corticosteroid","22/1218","166/18614",0.00123407550868418,0.0182152431808121,0.0150717501337606,"IGF1R/BCL2/NTRK3/PCSK1/PLAT/BCHE/FAM107A/NEFL/PTGS2/SCNN1G/CCND1/SCNN1D/AREG/ADIPOQ/AQP4/MAOB/FOS/FOSB/PCK1/NPAS4/TAT/CSN1S1",22
"GO:0090659","BP","GO:0090659","walking behavior","8/1218","34/18614",0.00128990335124295,0.0189480082828062,0.0156780584006537,"TRH/SPTBN4/GLRB/EFNB3/KLHL1/CNTN2/DRD2/DAB1",8
"GO:0051961","BP","GO:0051961","negative regulation of nervous system development","21/1218","156/18614",0.00129122718884416,0.0189480082828062,0.0156780584006537,"SOX10/MAG/NTRK3/WNT3/SEMA3B/SEMA6A/SLIT1/GPR37L1/BTG2/PTN/SEMA3G/EFNB3/DLX2/MAP2/SEMA6D/ROBO2/EPHA7/SYT4/MCF2/DAB1/MT3",21
"GO:0021761","BP","GO:0021761","limbic system development","17/1218","115/18614",0.00129536917940388,0.0189536916453066,0.0156827609576647,"IGF1R/FGFR2/BCAN/BTG2/NEFL/DLX2/ATP1A2/NHLH2/NR0B1/DRD2/LMX1A/SOX3/DAB1/KIRREL3/PRDM13/TBR1/CDK5R2",17
"GO:0008306","BP","GO:0008306","associative learning","14/1218","86/18614",0.00131866079662369,0.0191832844419492,0.0158727318095034,"SNAP25/OPRL1/BTG2/ATP1A2/CHRNB2/FOS/GABRA5/GRIN2A/TACR1/DRD2/LRRN4/SLC1A1/TBR1/OPRK1",14
"GO:0008543","BP","GO:0008543","fibroblast growth factor receptor signaling pathway","14/1218","86/18614",0.00131866079662369,0.0191832844419492,0.0158727318095034,"FGF10/FGF2/FGFR2/WNT4/FGF9/GATA3/SMOC2/NGFR/FGFR3/FGFBP1/FGF19/FGF17/FGF20/FGF21",14
"GO:0001502","BP","GO:0001502","cartilage condensation","6/1218","20/18614",0.00135467444399389,0.0196505649232217,0.0162593714270047,"COL2A1/BMPR1B/SOX5/MGP/BARX2/SOX6",6
"GO:0048645","BP","GO:0048645","animal organ formation","12/1218","68/18614",0.00139869764086328,0.0201472338371044,0.0166703277724644,"LRP2/FGF10/FGF2/FGFR2/WNT11/EYA1/NTF4/BMP2/RBM20/TP63/ROBO2/TBR1",12
"GO:0042133","BP","GO:0042133","neurotransmitter metabolic process","7/1218","27/18614",0.00140487842921172,0.0201472338371044,0.0166703277724644,"BCHE/ABAT/PAH/GAD1/MAOA/MAOB/SLC5A7",7
"GO:0045745","BP","GO:0045745","positive regulation of G protein-coupled receptor signaling pathway","7/1218","27/18614",0.00140487842921172,0.0201472338371044,0.0166703277724644,"KLK6/KLK14/CHGA/KLK5/MRAP/CNTN2/DRD2",7
"GO:0072207","BP","GO:0072207","metanephric epithelium development","7/1218","27/18614",0.00140487842921172,0.0201472338371044,0.0166703277724644,"OSR1/WNT4/SOX8/ADIPOQ/POU3F3/UMOD/CALB1",7
"GO:0003206","BP","GO:0003206","cardiac chamber morphogenesis","18/1218","126/18614",0.00141397563374092,0.0202202521221648,0.016730744937182,"NPY5R/LRP2/FOXC1/FGFR2/TGFBR3/FOXC2/WNT11/TNNC1/GATA3/BMP2/NPY2R/BMP5/ROBO2/NKX2-5/RBP4/MYH7/POU4F1/GATA4",18
"GO:0050878","BP","GO:0050878","regulation of body fluid levels","39/1218","361/18614",0.00143970886387598,0.0205300857199038,0.0169871090450785,"WNK4/CELSR2/ATP6V1B1/FGF10/IL6ST/PLAT/OPRL1/ABAT/TPH1/TFPI2/CSN3/CHRM3/ADAMTS18/SCNN1G/SCUBE1/ANXA8/CCND1/HBB/KRT1/SERPINA10/ALOX12/PLA2G4A/AQP4/MMRN1/CTSG/SAA1/NLRP6/SERPINB2/SERPINA1/NFE2/VTN/ERBB4/TACR1/DRD2/CYP4F2/UMOD/OPRK1/SPINK1/ALOX12B",39
"GO:0015670","BP","GO:0015670","carbon dioxide transport","5/1218","14/18614",0.00144656370997375,0.0205697284730915,0.0170199104556733,"HBB/HBA2/CA2/AQP4/HBA1",5
"GO:0001659","BP","GO:0001659","temperature homeostasis","23/1218","179/18614",0.00147372126798735,0.020897036406742,0.0172907332684028,"IGF1R/NOVA1/ZNF516/PTGER3/GJA1/FOXC2/ABAT/PTGS2/UCP1/LEP/ADCYAP1/PTGES/HTR2A/ADIPOQ/IGF2BP2/CIDEA/TRPM8/FABP4/CNR1/G0S2/ADRB1/DRD2/FGF21",23
"GO:0045761","BP","GO:0045761","regulation of adenylate cyclase activity","10/1218","51/18614",0.00150724799098193,0.0213125710321479,0.0176345570638841,"ADCYAP1/HPCA/VIPR2/GLP1R/CRHR1/GRM3/ADRB1/CALCA/GABBR2/LHCGR",10
"GO:0048545","BP","GO:0048545","response to steroid hormone","37/1218","339/18614",0.00156955096545164,0.0220219195499594,0.0182214898603384,"PGR/ESR1/IGF1R/BCL2/SOX10/NTRK3/DSG1/PCSK1/SFRP1/NR2E3/PLAT/ABHD2/BCHE/FAM107A/NEFL/PTGS2/SCNN1G/CCND1/ATP1A2/PTGER2/SCNN1D/AREG/ADIPOQ/AQP4/MAOB/FOS/FOSB/NR0B1/PCK1/TP63/TACR1/NPAS4/RHOXF1/TAT/GABRB1/CSN1S1/CST11",37
"GO:0034308","BP","GO:0034308","primary alcohol metabolic process","16/1218","107/18614",0.00157005134250303,0.0220219195499594,0.0182214898603384,"WNT4/BMP2/BMP5/RDH5/GPD1/CYP2C8/ADH1A/ADH1B/RBP4/ADH4/CYP3A7/CYP1A1/ADH6/RPE65/ADH7/HAO1",16
"GO:0009308","BP","GO:0009308","amine metabolic process","17/1218","117/18614",0.00157050139421263,0.0220219195499594,0.0182214898603384,"TRH/INSM1/CHDH/ABAT/PAH/GATA3/HDC/MAOA/MAOB/CHRNB2/GRIN2A/DRD2/NPY/BHMT/SLC1A1/ACMSD/CYP1A1",17
"GO:0031128","BP","GO:0031128","developmental induction","8/1218","35/18614",0.00157750597120258,0.0220489868374339,0.0182438860144586,"FGF10/FGF2/WNT3/WNT4/SOX8/WNT11/BMP2/ROBO2",8
"GO:0019098","BP","GO:0019098","reproductive behavior","9/1218","43/18614",0.00158997614859351,0.0220489868374339,0.0182438860144586,"ABAT/KLK14/TAC1/NPAS1/NHLH2/SLC6A4/CNR1/TACR1/OPRK1",9
"GO:0044058","BP","GO:0044058","regulation of digestive system process","9/1218","43/18614",0.00158997614859351,0.0220489868374339,0.0182438860144586,"WNK4/FGF10/PTGER3/OPRL1/LEP/APOA1/TACR1/OPRK1/SPINK1",9
"GO:0051954","BP","GO:0051954","positive regulation of amine transport","9/1218","43/18614",0.00158997614859351,0.0220489868374339,0.0182438860144586,"TRH/ABAT/SYT1/CARTPT/CHRNB2/DRD2/SLC17A8/SYT4/OPRK1",9
"GO:0014015","BP","GO:0014015","positive regulation of gliogenesis","12/1218","69/18614",0.00159427103717579,0.0220489868374339,0.0182438860144586,"SOX10/MAG/LRP2/GFAP/IL6ST/SOX8/PTN/PTPRZ1/BMP2/ASPA/IL34/ZNF488",12
"GO:0048864","BP","GO:0048864","stem cell development","14/1218","88/18614",0.00165496785592372,0.0227636995550488,0.0188352572846847,"BCL2/SOX10/FOXC1/FGF2/SEMA3B/EDN3/SEMA6A/FOXC2/SOX8/SEMA3G/NRTN/SEMA6D/ERBB4/FGF19",14
"GO:0071277","BP","GO:0071277","cellular response to calcium ion","14/1218","88/18614",0.00165496785592372,0.0227636995550488,0.0188352572846847,"ADCY1/SYT1/HPCA/RYR3/SCN5A/SYT9/FOS/FOSB/KCNH1/SYT8/ADCY8/NLGN1/SYT4/SYT10",14
"GO:0002065","BP","GO:0002065","columnar/cuboidal epithelial cell differentiation","17/1218","118/18614",0.00172556635736219,0.0236528914154625,0.0195709969840177,"PGR/INSM1/PYY/FGF2/FGFR2/IL6ST/WNT4/WNT11/ASCL1/BMP2/EMX1/RFX6/BMP5/TP63/NPY/GATA4/CDX2",17
"GO:0014013","BP","GO:0014013","regulation of gliogenesis","16/1218","108/18614",0.00173367072577677,0.0236528914154625,0.0195709969840177,"SOX10/MAG/NTRK3/LRP2/GFAP/IL6ST/SOX8/GPR37L1/PTN/PTPRZ1/DLX2/BMP2/ASPA/IL34/ZNF488/DAB1",16
"GO:0043266","BP","GO:0043266","regulation of potassium ion transport","16/1218","108/18614",0.00173367072577677,0.0236528914154625,0.0195709969840177,"KCNC2/KCNE4/NOS1AP/EDN3/RGS7/KCNIP2/HTR2A/KCNC1/KCNE1/KCNK3/CASQ2/KCNIP1/GCK/DRD2/DPP6/OPRK1",16
"GO:0003401","BP","GO:0003401","axis elongation","7/1218","28/18614",0.00176865997357179,0.0240005256628774,0.0198586382997534,"ESR1/FGF10/SFRP1/FGFR2/WNT11/MAGI2/AREG",7
"GO:0007214","BP","GO:0007214","gamma-aminobutyric acid signaling pathway","7/1218","28/18614",0.00176865997357179,0.0240005256628774,0.0198586382997534,"GABRA5/GABRR1/GABRB1/GABRG1/GABBR2/GABRA4/GABRA1",7
"GO:0044321","BP","GO:0044321","response to leptin","6/1218","21/18614",0.0017925567668907,0.0241947234204926,0.0200193224064798,"LRP2/UGCG/LEP/CCND1/GCK/MT3",6
"GO:0060004","BP","GO:0060004","reflex","6/1218","21/18614",0.0017925567668907,0.0241947234204926,0.0200193224064798,"SLITRK6/GLRB/ASCL1/HPN/ADRA1A/SLC1A1",6
"GO:0015800","BP","GO:0015800","acidic amino acid transport","11/1218","61/18614",0.00182291078010995,0.0243440571904631,0.0201428849219613,"NPY5R/TRH/NTRK2/GJA1/ABAT/SLC1A2/ATP1A2/GRM7/SLC17A8/SLC1A1/SYT4",11
"GO:0031279","BP","GO:0031279","regulation of cyclase activity","11/1218","61/18614",0.00182291078010995,0.0243440571904631,0.0201428849219613,"ADCYAP1/HPCA/VIPR2/GLP1R/CRHR1/RD3/GRM3/ADRB1/CALCA/GABBR2/LHCGR",11
"GO:0051480","BP","GO:0051480","regulation of cytosolic calcium ion concentration","11/1218","61/18614",0.00182291078010995,0.0243440571904631,0.0201428849219613,"GRIA1/CACNB2/FZD9/SV2B/ATP2B2/CNR1/ADCY8/NPY/P2RY4/CALCA/CALB1",11
"GO:0060038","BP","GO:0060038","cardiac muscle cell proliferation","11/1218","61/18614",0.00182291078010995,0.0243440571904631,0.0201428849219613,"FOXC1/FGF2/FGFR2/TGFBR3/FOXC2/FGF9/KCNK2/ERBB4/NKX2-5/RBP4/FGF20",11
"GO:0050768","BP","GO:0050768","negative regulation of neurogenesis","20/1218","150/18614",0.00186906189092187,0.0248945235497985,0.0205983546262408,"SOX10/MAG/NTRK3/WNT3/SEMA3B/SEMA6A/SLIT1/GPR37L1/BTG2/PTN/SEMA3G/EFNB3/DLX2/MAP2/SEMA6D/EPHA7/SYT4/MCF2/DAB1/MT3",20
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","49/1218","488/18614",0.00187801709262431,0.0249479744304408,0.020642581228624,"PGR/ESR1/AGTR1/GDF5/OSR1/IRS2/FGF10/SFRP1/FGF2/FGFR2/SCARB1/IGFBP4/TGFBR3/DLX6/BMPER/ZNF703/EYA1/PTN/RGN/KLK8/EGR3/SERPINB5/MYC/FGF9/LEP/FERMT1/CCND1/GATA3/BMP2/TNMD/IGF2/APOA1/BMP5/SCN5A/AREG/HPN/NGFR/DACH1/NR4A1/DLX5/THBS4/PROK1/FGFBP1/TP63/TACR1/DRD2/ODAM/NKX2-5/SPINK1",49
"GO:0051955","BP","GO:0051955","regulation of amino acid transport","9/1218","44/18614",0.00188466206133187,0.0249705356577513,0.0206612489552835,"NPY5R/TRH/ABAT/LEP/SV2A/ATP1A2/GRM7/SLC17A8/SYT4",9
"GO:0086005","BP","GO:0086005","ventricular cardiac muscle cell action potential","8/1218","36/18614",0.00191359577057814,0.0252875168844986,0.0209235271911107,"KCNE4/NOS1AP/KCNJ3/SCN2B/SCN5A/KCND3/KCNE1/CTNNA3",8
"GO:0048644","BP","GO:0048644","muscle organ morphogenesis","13/1218","80/18614",0.00196653022788064,0.0259191764760874,0.0214461782169311,"LRP2/FOXC1/FGFR2/TGFBR3/FOXC2/TNNC1/BMP2/NKX2-5/MYH7/POU4F1/ACTC1/XIRP2/MYF6",13
"GO:0009266","BP","GO:0009266","response to temperature stimulus","23/1218","183/18614",0.00197567661340747,0.025971915480419,0.0214898157949584,"ZNF516/MAPT/SLC25A27/RGS7/EPHB1/PTGS2/UCP1/TRPA1/SCN2B/CASQ1/HTR2A/NGFR/PLIN1/CIDEA/STAC/TRPM8/FOS/LPL/ADRB1/TACR1/SCARA5/CALCA/PCSK1N",23
"GO:0050873","BP","GO:0050873","brown fat cell differentiation","10/1218","53/18614",0.00204274339465045,0.0267199897947152,0.0221087912889794,"ZNF516/VSTM2A/PTGS2/UCP1/LEP/FNDC5/ADIPOQ/FABP4/ADRB1/SLC7A10",10
"GO:0032352","BP","GO:0032352","positive regulation of hormone metabolic process","5/1218","15/18614",0.00205375515854784,0.0267199897947152,0.0221087912889794,"IGF1R/WNT4/GATA3/HPN/LHCGR",5
"GO:0051956","BP","GO:0051956","negative regulation of amino acid transport","5/1218","15/18614",0.00205375515854784,0.0267199897947152,0.0221087912889794,"NPY5R/TRH/ABAT/LEP/GRM7",5
"GO:0071599","BP","GO:0071599","otic vesicle development","5/1218","15/18614",0.00205375515854784,0.0267199897947152,0.0221087912889794,"COL2A1/FGF10/FGFR2/EYA1/GATA3",5
"GO:1904064","BP","GO:1904064","positive regulation of cation transmembrane transport","20/1218","152/18614",0.00219227360481404,0.028253034244252,0.0233772708068213,"PDZK1/KCNC2/PLP1/NOS1AP/EDN3/CACNB2/RGS7/RGN/RAMP3/KCNIP2/FXYD1/CASQ1/KCNC1/KCNE1/KCNK3/STAC/TESC/WNK3/OPRK1/LHCGR",20
"GO:0002052","BP","GO:0002052","positive regulation of neuroblast proliferation","7/1218","29/18614",0.00220148752053083,0.028253034244252,0.0233772708068213,"SOX10/CDON/FGF2/CX3CR1/DCT/FOXG1/DRD2",7
"GO:0030431","BP","GO:0030431","sleep","7/1218","29/18614",0.00220148752053083,0.028253034244252,0.0233772708068213,"HTR2A/CHRNB2/FOS/GRIN2A/ADRB1/GHRH/DRD2",7
"GO:0061436","BP","GO:0061436","establishment of skin barrier","7/1218","29/18614",0.00220148752053083,0.028253034244252,0.0233772708068213,"KRT16/UGCG/KRT1/ALOX12/ALOXE3/TP63/ALOX12B",7
"GO:0099170","BP","GO:0099170","postsynaptic modulation of chemical synaptic transmission","7/1218","29/18614",0.00220148752053083,0.028253034244252,0.0233772708068213,"NEFH/NEFL/FBXO2/SORCS3/GRM3/DRD2/SLC1A1",7
"GO:0008344","BP","GO:0008344","adult locomotory behavior","13/1218","81/18614",0.00220516947152046,0.028253034244252,0.0233772708068213,"TRH/SPTBN4/SLITRK6/GLRB/NTF4/EFNB3/ATP1A2/EN1/KLHL1/SEZ6/CNTN2/DRD2/DAB1",13
"GO:0001504","BP","GO:0001504","neurotransmitter uptake","9/1218","45/18614",0.00222138475289866,0.0283700809001908,0.0234741181524642,"GFAP/SNAP25/SLC1A2/ATP1A2/SLC6A4/SLC18A1/DRD2/SLC17A8/SLC6A2",9
"GO:0006816","BP","GO:0006816","calcium ion transport","46/1218","455/18614",0.00222554517362828,0.0283700809001908,0.0234741181524642,"STC2/BCL2/PLP1/RAMP1/FGF2/NOS1AP/OPRL1/CACNB2/TRPM6/RGN/PTGS2/CACNA1F/CHRNA9/CACHD1/RAMP3/CACNA2D3/HPCA/TRPA1/ATP1A2/RYR3/CASQ1/GPM6A/HTR2A/SCN5A/CACNA1G/KCNE1/CRHR1/STAC/CASQ2/NMUR1/CHRNB2/CACNA2D2/GRIN2C/TRPM8/GCK/SCN7A/ATP2B2/ADRA1A/GRIN2A/WNK3/DRD2/CALHM1/CACNG6/TRPM3/SPINK1/LHCGR",46
"GO:1904062","BP","GO:1904062","regulation of monoatomic cation transmembrane transport","37/1218","346/18614",0.00224298388281163,0.0285203592958013,0.0235984622749478,"PDZK1/BCL2/KCNC2/OSR1/PLP1/KCNE4/NOS1AP/EDN3/OPRL1/CACNB2/RGS7/RGN/SCN4B/RAMP3/HPCA/ATP1A2/SCN2B/KCNIP2/FXYD1/CASQ1/KCNC1/SCN5A/KCNE1/KCNK3/CRHR1/STAC/CASQ2/KCNIP1/GRIN2C/TESC/HCN1/GRIN2A/WNK3/DPP6/CACNG6/OPRK1/LHCGR",37
"GO:0051384","BP","GO:0051384","response to glucocorticoid","19/1218","142/18614",0.00230138553465197,0.0289272645388804,0.0239351459025518,"IGF1R/BCL2/NTRK3/PCSK1/PLAT/BCHE/FAM107A/NEFL/PTGS2/CCND1/AREG/ADIPOQ/AQP4/MAOB/FOS/FOSB/PCK1/NPAS4/TAT",19
"GO:0010092","BP","GO:0010092","specification of animal organ identity","8/1218","37/18614",0.00230363715226425,0.0289272645388804,0.0239351459025518,"LRP2/FGF10/FGF2/FGFR2/WNT11/BMP2/ROBO2/TBR1",8
"GO:0046461","BP","GO:0046461","neutral lipid catabolic process","8/1218","37/18614",0.00230363715226425,0.0289272645388804,0.0239351459025518,"PLIN5/ABHD2/GPIHBP1/ABHD12B/LPL/PNLIPRP2/FGF21/PNPLA5",8
"GO:0046464","BP","GO:0046464","acylglycerol catabolic process","8/1218","37/18614",0.00230363715226425,0.0289272645388804,0.0239351459025518,"PLIN5/ABHD2/GPIHBP1/ABHD12B/LPL/PNLIPRP2/FGF21/PNPLA5",8
"GO:0086019","BP","GO:0086019","cell-cell signaling involved in cardiac conduction","8/1218","37/18614",0.00230363715226425,0.0289272645388804,0.0239351459025518,"GJA1/CACNB2/SCN4B/KCNJ3/SCN5A/CACNA1G/CASQ2/HCN1",8
"GO:0045665","BP","GO:0045665","negative regulation of neuron differentiation","12/1218","72/18614",0.00232008747021782,0.0289677327008314,0.023968630277108,"MAG/SOX8/GPR37L1/ASCL1/DLX2/CNTN4/SLC6A4/SIX3/FOXG1/CNTN2/LMX1A/SOX3",12
"GO:0007620","BP","GO:0007620","copulation","6/1218","22/18614",0.00232981368394167,0.0289677327008314,0.023968630277108,"ABAT/KLK14/TAC1/SLC6A4/CNR1/TACR1",6
"GO:0015669","BP","GO:0015669","gas transport","6/1218","22/18614",0.00232981368394167,0.0289677327008314,0.023968630277108,"MYC/HBB/HBA2/CA2/AQP4/HBA1",6
"GO:0086012","BP","GO:0086012","membrane depolarization during cardiac muscle cell action potential","6/1218","22/18614",0.00232981368394167,0.0289677327008314,0.023968630277108,"CACNB2/SCN4B/ATP1A2/SCN2B/SCN5A/CACNA1G",6
"GO:1901215","BP","GO:1901215","negative regulation of neuron death","26/1218","219/18614",0.00236756369916972,0.0293647704014957,0.0242971492520508,"BCL2/MAG/NTRK2/GDF5/IL6ST/BDNF/CITED1/BTG2/PTPRZ1/NEFL/CHGA/NTF4/CX3CR1/NES/CCND1/EN1/NTF3/FZD9/GABRA5/NPPC/NPY/SLC1A1/POU4F1/FGF20/MT3/FGF21",26
"GO:0003151","BP","GO:0003151","outflow tract morphogenesis","13/1218","82/18614",0.0024670966143429,0.0304832048615616,0.0252225700414289,"NPY1R/NPY5R/LRP2/FOXC1/FGFR2/TGFBR3/FOXC2/WNT11/EYA1/ELN/NPY2R/ROBO2/NKX2-5",13
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","27/1218","231/18614",0.00246981592479768,0.0304832048615616,0.0252225700414289,"ADCY1/KCNC2/SYT1/MT1M/PTGS2/HPCA/RYR3/SCN5A/MYOG/NPTX1/SYT9/KCNK3/FOS/FOSB/SLC13A5/KCNH1/SYT8/FABP4/ADCY8/NLGN1/MT1DP/SLC1A1/SYT4/SLC13A2/CYP1A1/MT3/SYT10",27
"GO:0070588","BP","GO:0070588","calcium ion transmembrane transport","38/1218","360/18614",0.00247666173185025,0.0304931424936098,0.0252307926880148,"BCL2/PLP1/FGF2/NOS1AP/OPRL1/CACNB2/TRPM6/RGN/CACNA1F/CHRNA9/CACHD1/RAMP3/CACNA2D3/HPCA/TRPA1/ATP1A2/RYR3/CASQ1/GPM6A/HTR2A/SCN5A/CACNA1G/KCNE1/CRHR1/STAC/CASQ2/CACNA2D2/GRIN2C/TRPM8/SCN7A/ATP2B2/ADRA1A/GRIN2A/DRD2/CALHM1/CACNG6/TRPM3/LHCGR",38
"GO:0055017","BP","GO:0055017","cardiac muscle tissue growth","14/1218","92/18614",0.00254309052656772,0.0312348442289875,0.0258444953500339,"FOXC1/FGF2/FGFR2/TGFBR3/FOXC2/FGF9/KCNK2/ADRA1A/ERBB4/NKX2-5/RBP4/PI16/FGF20/GATA4",14
"GO:0030517","BP","GO:0030517","negative regulation of axon extension","9/1218","46/18614",0.00260424861733412,0.0315964794783755,0.0261437214467833,"MAG/WNT3/SEMA3B/SEMA6A/SLIT1/SEMA3G/MAP2/SEMA6D/MT3",9
"GO:0042551","BP","GO:0042551","neuron maturation","9/1218","46/18614",0.00260424861733412,0.0315964794783755,0.0261437214467833,"BCL2/SPTBN4/KCNIP2/C1QL1/MYOC/GLDN/EPHA8/CNTN2/BCL11A",9
"GO:0055010","BP","GO:0055010","ventricular cardiac muscle tissue morphogenesis","9/1218","46/18614",0.00260424861733412,0.0315964794783755,0.0261437214467833,"LRP2/FOXC1/FGFR2/TGFBR3/FOXC2/TNNC1/NKX2-5/MYH7/POU4F1",9
"GO:1990090","BP","GO:1990090","cellular response to nerve growth factor stimulus","9/1218","46/18614",0.00260424861733412,0.0315964794783755,0.0261437214467833,"NTRK3/NTRK2/MAPT/BDNF/MAGI2/TAC1/NTF4/NTF3/CALCA",9
"GO:2000300","BP","GO:2000300","regulation of synaptic vesicle exocytosis","9/1218","46/18614",0.00260424861733412,0.0315964794783755,0.0261437214467833,"RIMS4/SYN1/SYT1/SYP/SV2B/NLGN1/NPY/P2RY4/SYT4",9
"GO:0071772","BP","GO:0071772","response to BMP","23/1218","187/18614",0.00261634873652159,0.0315964794783755,0.0261437214467833,"COL2A1/BMPR1B/GDF5/LRP2/PCSK6/SFRP1/TGFBR3/LEFTY2/BMPER/VSTM2A/RGMA/CHRDL2/TMEM100/GATA3/TMPRSS6/BMP2/DLX5/GDF1/GDF9/SOSTDC1/GDF10/GATA4/VWC2",23
"GO:0071773","BP","GO:0071773","cellular response to BMP stimulus","23/1218","187/18614",0.00261634873652159,0.0315964794783755,0.0261437214467833,"COL2A1/BMPR1B/GDF5/LRP2/PCSK6/SFRP1/TGFBR3/LEFTY2/BMPER/VSTM2A/RGMA/CHRDL2/TMEM100/GATA3/TMPRSS6/BMP2/DLX5/GDF1/GDF9/SOSTDC1/GDF10/GATA4/VWC2",23
"GO:0040014","BP","GO:0040014","regulation of multicellular organism growth","11/1218","64/18614",0.00271052273279801,0.0325916452070489,0.0269671465888669,"NPY1R/STC2/BCL2/GDF5/SPTBN4/IGF2/ADRB1/VIL1/GHRH/DRD2/NPPC",11
"GO:0060603","BP","GO:0060603","mammary gland duct morphogenesis","7/1218","30/18614",0.00271166620185431,0.0325916452070489,0.0269671465888669,"PGR/ESR1/FGF10/FGFR2/WNT4/AREG/SOSTDC1",7
"GO:0042135","BP","GO:0042135","neurotransmitter catabolic process","4/1218","10/18614",0.00278358188756318,0.0331403805858937,0.0274211840363721,"BCHE/ABAT/MAOA/MAOB",4
"GO:0051967","BP","GO:0051967","negative regulation of synaptic transmission, glutamatergic","4/1218","10/18614",0.00278358188756318,0.0331403805858937,0.0274211840363721,"GRIK3/HTR2A/HCN1/DRD2",4
"GO:0060525","BP","GO:0060525","prostate glandular acinus development","4/1218","10/18614",0.00278358188756318,0.0331403805858937,0.0274211840363721,"ESR1/SFRP1/FGFR2/TP63",4
"GO:1990504","BP","GO:1990504","dense core granule exocytosis","4/1218","10/18614",0.00278358188756318,0.0331403805858937,0.0274211840363721,"SNAP25/BAIAP3/SYT4/UNC13A",4
